TIPE|TOKO|TGL_SALES|KOLOM1|KOLOM2|KOLOM3|KOLOM4|TIPE_SHIFT
HEADER|T38U|2022-12-10|55500000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T38U|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T38U 10/12/2022|41700|HARIAN
HEADER|TEC3|2022-12-10|25600000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TEC3|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TEC3 10/12/2022|41075|HARIAN
HEADER|TFF0|2022-12-10|27650000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TFF0|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TFF0 10/12/2022|35900|HARIAN
HEADER|TU38|2022-12-10|25500000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TU38|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TU38 10/12/2022|32100|HARIAN
HEADER|T26I|2022-12-10|25150000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T26I|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T26I 10/12/2022|30500|HARIAN
HEADER|TE6T|2022-12-10|22550000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TE6T|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TE6T 10/12/2022|23975|HARIAN
HEADER|T73X|2022-12-10|21100000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T73X|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T73X 10/12/2022|23659|HARIAN
HEADER|T4EA|2022-12-10|28050000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T4EA|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T4EA 10/12/2022|22375|HARIAN
HEADER|TX81|2022-12-10|27850000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX81|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TX81 10/12/2022|21300|HARIAN
HEADER|TX22|2022-12-10|27050000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX22|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TX22 10/12/2022|16645|HARIAN
HEADER|T32S|2022-12-10|42050000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T32S|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T32S 10/12/2022|15950|HARIAN
HEADER|TGUC|2022-12-10|13500000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TGUC|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TGUC 10/12/2022|14417|HARIAN
HEADER|T01X|2022-12-10|21950000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T01X|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T01X 10/12/2022|12124|HARIAN
HEADER|T48U|2022-12-10|83000000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T48U|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T48U 10/12/2022|9039|HARIAN
HEADER|TEE3|2022-12-10|59200000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TEE3|2022-12-10|Biaya Bank|2022-12-10|Biaya Bank TEE3 10/12/2022|5500|HARIAN
HEADER|TX75|2022-12-10|26000000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX75|2022-12-10|Biaya Bank|2022-12-10|Biaya Bank TX75 10/12/2022|5422|HARIAN
HEADER|T37X|2022-12-10|24950000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T37X|2022-12-10|Biaya Bank|2022-12-10|Biaya Bank T37X 10/12/2022|4590|HARIAN
HEADER|TICL|2022-12-10|38350000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TICL|2022-12-10|Biaya Bank|2022-12-10|Biaya Bank TICL 10/12/2022|1560|HARIAN
HEADER|T62X|2022-12-10|46550000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T62X|2022-12-10|Biaya Bank|2022-12-10|Biaya Bank T62X 10/12/2022|1362|HARIAN
HEADER|T71X|2022-12-10|32200000|BANK BCA|4456377777|2022-12-12|HARIAN
HEADER|TPTD|2022-12-11|22350000|BANK CIMB NIAGA|800077676200|2022-12-12|HARIAN
HEADER|F02A|2022-12-11|12100000|BANK BCA|4451871450|2022-12-12|HARIAN
MINUS|F02A|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  F02A 11/12/2022|11113200|HARIAN
HEADER|F70F|2022-12-11|20450000|BANK BCA|4451268851|2022-12-12|HARIAN
MINUS|F70F|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  F70F 11/12/2022|37240|HARIAN
HEADER|FAIH|2022-12-11|42550000|BANK BCA|4451997721|2022-12-12|HARIAN
MINUS|FAIH|2022-12-11|Biaya Bank|2022-12-11|Biaya Bank FAIH 11/12/2022|4053|HARIAN
HEADER|FDR6|2022-12-11|17900000|BANK BCA|4458155311|2022-12-12|HARIAN
MINUS|FDR6|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  FDR6 11/12/2022|37700|HARIAN
HEADER|FF54|2022-12-11|59650000|BANK BCA|4451268711|2022-12-12|HARIAN
MINUS|FF54|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  FF54 11/12/2022|40402|HARIAN
HEADER|FF55|2022-12-11|28100000|BANK BCA|4451268729|2022-12-12|HARIAN
MINUS|FF55|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  FF55 11/12/2022|24200|HARIAN
HEADER|FF56|2022-12-11|32900000|BANK BCA|4451268737|2022-12-12|HARIAN
HEADER|FMVK|2022-12-11|26350000|BANK BCA|4451269890|2022-12-12|HARIAN
MINUS|FMVK|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  FMVK 11/12/2022|31500|HARIAN
HEADER|FNRD|2022-12-11|16050000|BANK BCA|4451269903|2022-12-12|HARIAN
MINUS|FNRD|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  FNRD 11/12/2022|22625|HARIAN
HEADER|FP07|2022-12-11|31800000|BANK BCA|4451871409|2022-12-12|HARIAN
MINUS|FP07|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  FP07 11/12/2022|8450|HARIAN
HEADER|FP08|2022-12-11|37250000|BANK BCA|4451268834|2022-12-12|HARIAN
MINUS|FP08|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  FP08 11/12/2022|47713|HARIAN
HEADER|FQ60|2022-12-11|19200000|BANK BCA|4451269245|2022-12-12|HARIAN
MINUS|FQ60|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  FQ60 11/12/2022|29685|HARIAN
HEADER|T48U|2022-12-11|70250000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T48U|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T48U 11/12/2022|429006|HARIAN
HEADER|T93A|2022-12-11|59950000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T93A|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T93A 11/12/2022|331331|HARIAN
HEADER|TNAE|2022-12-11|48750000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TNAE|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TNAE 11/12/2022|302536|HARIAN
HEADER|TGUC|2022-12-11|13350000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TGUC|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TGUC 11/12/2022|139100|HARIAN
HEADER|T71X|2022-12-11|28500000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T71X|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T71X 11/12/2022|108400|HARIAN
HEADER|TJ7E|2022-12-11|16650000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TJ7E|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TJ7E 11/12/2022|80975|HARIAN
HEADER|TX35|2022-12-11|30000000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX35|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TX35 11/12/2022|58850|HARIAN
HEADER|TEC3|2022-12-11|19600000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TEC3|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TEC3 11/12/2022|51875|HARIAN
HEADER|T3IU|2022-12-11|28700000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T3IU|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T3IU 11/12/2022|49625|HARIAN
HEADER|TW1T|2022-12-11|38700000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TW1T|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TW1T 11/12/2022|48266|HARIAN
HEADER|TX01|2022-12-11|22700000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX01|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TX01 11/12/2022|47700|HARIAN
HEADER|T73X|2022-12-11|29150000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T73X|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T73X 11/12/2022|46700|HARIAN
HEADER|T32S|2022-12-11|42100000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T32S|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T32S 11/12/2022|44553|HARIAN
HEADER|TX81|2022-12-11|24500000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX81|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TX81 11/12/2022|44100|HARIAN
HEADER|TU38|2022-12-11|18500000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TU38|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TU38 11/12/2022|42200|HARIAN
HEADER|THR5|2022-12-11|40000000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|THR5|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  THR5 11/12/2022|35743|HARIAN
HEADER|TP96|2022-12-11|36750000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TP96|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TP96 11/12/2022|35600|HARIAN
HEADER|TMIJ|2022-12-11|21500000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TMIJ|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TMIJ 11/12/2022|35102|HARIAN
HEADER|TEE3|2022-12-11|42800000|BANK BCA|4456377777|2022-12-12|HARIAN
